generation,n_finished,effort.alpha_mean,effort.alpha_std,effort.beta_dist_mean,effort.beta_dist_std,effort.gamma_team_mean,effort.gamma_team_std,effort.delta_energy_mean,effort.delta_energy_std,effort.gamma_match_mean,effort.gamma_match_std,sustain.bias_mean,sustain.bias_std,sustain.k_gap_mean,sustain.k_gap_std,weights.lambda_speed_mean,weights.lambda_speed_std,weights.lambda_energy_mean,weights.lambda_energy_std,weights.lambda_risk_mean,weights.lambda_risk_std,weights.beta_loss_mean,weights.beta_loss_std,utility_mean,utility_std,utility_min,utility_max,utility_range
10,50,0.08263260575586891,0.5464829260665128,-0.3732559975731585,0.47710479417179114,0.24070774280489554,0.8333095803737122,-0.39836861189310446,0.4056845626125172,-0.17805738548858763,0.6965784056895102,-0.1941493365345117,0.6760382724702662,0.297531842413641,0.5377895984217591,1.30795282414441,0.7577187714243715,1.1208598767519484,0.8899924538388757,0.5799863563359037,0.4410887618173725,1.8184856687375721,0.4328175588095648,0.12132979101871011,0.3613258632932933,6.149759759173212e-09,2.0,1.9999999938502402
11,50,0.05609447154064941,0.5470094086156231,-0.4595121404294046,0.5002029822583038,0.025040856847461254,0.8978355428096225,-0.36954497146979864,0.4514482166978877,-0.20469780928659204,0.6857436051974628,-0.1498273449764116,0.7169064157330864,0.19949425885440095,0.5552193309193577,1.3081269726613642,0.6658596994407323,0.935288992243702,0.9616430269131317,0.49774234852157284,0.43548527365943224,1.7509228858730848,0.44943835440570395,0.12132979101871011,0.3613258632932933,6.149759759173212e-09,2.0,1.9999999938502402
12,50,0.014547481958077138,0.5871335463409737,-0.3516402556770807,0.5036385471957915,0.029532529018413085,0.850649951826095,-0.33242334074637603,0.46807883715233384,-0.2053081075157038,0.7293292018358682,-0.1223166701673365,0.7303581947844485,0.21312167379607516,0.5321898206849056,1.312605712508808,0.6447097048077802,1.0855291771680757,0.9107659031619952,0.4829080674323297,0.3952105762561872,1.8705171097993667,0.4964028083285285,0.12132979101871011,0.3613258632932933,6.149759759173212e-09,2.0,1.9999999938502402
13,50,0.04611353797028023,0.6046359912591118,-0.33852225011526693,0.4834226126161056,0.07991838696180306,0.8760805385137312,-0.3816194106210173,0.43386392347844815,-0.20600862627229446,0.7086439658738124,-0.07764759899998076,0.7172242974670294,0.21791985799799066,0.5362246059854892,1.347956710269935,0.6825871189541672,1.0954081651018992,0.8944976408959678,0.5379163601924251,0.4169151546977165,1.8843916433494623,0.4456509246464973,0.12132979101871011,0.3613258632932933,6.149759759173212e-09,2.0,1.9999999938502402
14,50,0.07128515569896453,0.5553665967957947,-0.3043732031866504,0.44351778215428056,0.17756900769227996,0.7512429619313874,-0.3997675282483334,0.3854295718030512,-0.22624097281925895,0.6655579514801163,-0.11866484527181091,0.6736806986082847,0.2545797273181582,0.4926948602480286,1.3266287956805307,0.6850133363681272,1.2194940580466604,0.8001280661418088,0.5480030246785109,0.4017428808417713,1.9465310064426535,0.4096741989628801,0.12132979101871011,0.3613258632932933,6.149759759173212e-09,2.0,1.9999999938502402
15,50,0.05058458677616458,0.5632092710093548,-0.2756546526683003,0.4213127435335515,0.05195002267769603,0.7990595746052503,-0.40248956982159445,0.36249875684011174,-0.24073274124211755,0.6823025131516817,-0.010296390594727268,0.6759927864427756,0.1851706916855044,0.5524350322291945,1.3257883332316611,0.6598736374864507,1.113693370406085,0.8192491108055567,0.5350467515506516,0.3893464869353239,1.947630754738694,0.40890674944123306,0.12132979101871011,0.3613258632932933,6.149759759173212e-09,2.0,1.9999999938502402
16,50,0.10925637357017774,0.5373536744712415,-0.32804285592291693,0.3596465978980583,0.1511142003725261,0.8162088329918041,-0.39976104445691846,0.31115241464808974,-0.29088664764292727,0.6166768921753869,-0.013562614542236222,0.5453910551048611,0.1883362120337238,0.4270035921281157,1.376947583962165,0.6688879703145613,1.249219471313008,0.7724881910453143,0.5505790673152559,0.39660530801663707,1.9811266547883357,0.39099268410846616,0.12132979101871011,0.3613258632932933,6.149759759173212e-09,2.0,1.9999999938502402
17,50,0.09987431076188276,0.46733059706992186,-0.2908927609682099,0.2864038105661435,0.24202442660747006,0.6942694146603857,-0.41348688169289555,0.2869014453586408,-0.31766234406877114,0.446879963529506,-0.13124906545267842,0.5328585723361723,0.21676606177916885,0.3603046972456863,1.4000392819804848,0.6801106590353094,1.3377731202436187,0.6421377708918414,0.5903255668296327,0.3967980506286865,2.0239027218850074,0.3339917306303654,0.12132979101871011,0.3613258632932933,6.149759759173212e-09,2.0,1.9999999938502402
18,50,0.06195981405675953,0.4127404251947444,-0.2915888966987908,0.30859137977525863,0.128683502259155,0.689495767132836,-0.4089661838235129,0.28536223529208066,-0.32584480654325376,0.45356396063802,-0.07684878921768509,0.5360714613282974,0.18932219452760457,0.3654150488550025,1.3704588155898587,0.591106009131447,1.2138287990007586,0.7444914112155321,0.5389157066559377,0.3502745997044605,1.9951673448758518,0.36845183735616527,0.12132979101871011,0.3613258632932933,6.149759759173212e-09,2.0,1.9999999938502402
19,50,0.08416641938783992,0.36923511206120546,-0.260584400767415,0.2693902839552043,0.2536000723798957,0.5063798168181929,-0.42796622418823493,0.270206477025164,-0.35777548454247043,0.43882302994282235,-0.1753787087757269,0.4935154851921331,0.22735586521753318,0.3211168768365536,1.325104368999014,0.5801409502600017,1.3711653622850783,0.5619930167815638,0.5340700392804312,0.3063004887313987,2.070205986175021,0.3054332908257203,0.12132979101871011,0.3613258632932933,6.149759759173212e-09,2.0,1.9999999938502402
