qoi,param_i,param_j,S2,S2_conf
mean_exposure,k_s,breakaway_speed_frac,0.13559581923113626,0.14481197523896963
mean_exposure,k_s,k_aero,-0.011078563102303984,0.224810113748814
mean_exposure,k_s,c_roll,-0.033861987011250975,0.1577852867835364
mean_exposure,k_s,recovery_rate,0.01428853998826435,0.1523976446236208
mean_exposure,k_s,cp_fraction,0.03157495363936917,0.1938404122020228
mean_exposure,k_s,group_radius,0.02229912105687197,0.15918647346780854
mean_exposure,draft_coefficient,breakaway_speed_frac,-0.026288108074215208,0.1861362830394481
mean_exposure,draft_coefficient,k_aero,-0.022273311572307164,0.19693139755271355
mean_exposure,draft_coefficient,c_roll,-0.032442270934940905,0.13015805412230078
mean_exposure,draft_coefficient,recovery_rate,-0.048778715755311994,0.16681981827626688
mean_exposure,draft_coefficient,cp_fraction,-0.03436171755310455,0.17955554494858889
mean_exposure,draft_coefficient,group_radius,-0.05017796739811884,0.15406156508656796
mean_exposure,breakaway_speed_frac,k_aero,0.008030248518739291,0.21929078025547674
mean_exposure,breakaway_speed_frac,c_roll,-0.0911575201357395,0.16764910778052433
mean_exposure,breakaway_speed_frac,recovery_rate,-0.0021225330048831835,0.21408071003786716
mean_exposure,breakaway_speed_frac,cp_fraction,-0.010606119713730308,0.20185231344947943
mean_exposure,breakaway_speed_frac,group_radius,0.002291016281763779,0.20191854809880563
mean_exposure,k_aero,c_roll,-0.03973453182870435,0.20981132319823548
mean_exposure,k_aero,recovery_rate,-0.15198985575067223,0.23118265933160387
mean_exposure,k_aero,cp_fraction,-0.016275809302271085,0.2546894229487751
mean_exposure,k_aero,group_radius,-0.018574913579202428,0.23204210170746792
mean_exposure,c_roll,recovery_rate,-0.036114643917686845,0.12231423656060726
mean_exposure,c_roll,cp_fraction,0.024805334784877744,0.13699507085061918
mean_exposure,c_roll,group_radius,0.05043222720064441,0.11741328025823843
mean_exposure,recovery_rate,cp_fraction,-0.0008566572436357611,0.1905367479945861
mean_exposure,recovery_rate,group_radius,0.003284786455567533,0.1583210123500854
mean_exposure,cp_fraction,group_radius,-0.05864470459379014,0.1864480047919612
